name,github,type,source
Institute for Nonprofit News,https://github.com/inn,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
IRE/NICAR,https://github.com/ireapps,nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Journalism++,https://github.com/jplusplus,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
NewsApps.io,https://github.com/newsappsio,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
NewsLynx,https://github.com/newslynx,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Northwestern U. Knight Lab,https://github.com/NUKnightLab,lab,https://github.com/kleinmatic/open-journalism/blob/master/README.md
OpenElections,https://github.com/openelections,project,https://github.com/kleinmatic/open-journalism/blob/master/README.md
OpenNews,https://github.com/openNews,nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Overview Project,https://github.com/overview,project,https://github.com/kleinmatic/open-journalism/blob/master/README.md
Poderopedia,https://github.com/poderopedia,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
SourceFabric,https://github.com/sourcefabric,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
SunlightLabs,https://github.com/sunlightlabs,nonprofit,https://github.com/kleinmatic/open-journalism/blob/master/README.md
WireService,https://github.com/wireservice,,https://github.com/kleinmatic/open-journalism/blob/master/README.md
